>>> Code Smell Configuration 
[Feature-based Values]

[Method-based Values]
Amount - Number of featurelocations: 1; mandatory=true
Amount - Number of feature occurences: 1; mandatory=true
Amount - Number of nestings: 1; mandatory=true





>>> File-Sorted Results:



[File: /home/dwelgaz/Desktop/Development/Thesis/Data/OpenSSL/_cppstats_featurelocations/apps/apps.c.xml]
Start		End		Feature		Reason
853		857		_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
854		856		OPENSSL_NO_SETVBUF_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
961		974		OPENSSL_NO_ENGINE		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
981		985		_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
982		984		OPENSSL_NO_SETVBUF_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
999		1002		OPENSSL_NO_RC4		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
999		1002		OPENSSL_NO_RSA		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1009		1015		OPENSSL_NO_RSA		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1009		1015		OPENSSL_NO_RC4		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1009		1015		OPENSSL_NO_DSA		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1044		1052		OPENSSL_NO_ENGINE		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1059		1063		_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
1060		1062		OPENSSL_NO_SETVBUF_IONBF		[ANNOTATIONBUNDLE_NUMBERFEATURELOCS, ANNOTATIONBUNDLE_NUMBERFEATUREOCC, ANNOTATIONBUNDLE_NUMBERNESTINGSUM]
